"BCH_LAB_CODE","LOINC_LAB_CODE"
"LAB:167153356","19153-6"
"LAB:3775098","18719-5"
"LAB:3774843","7665-3"
"LAB:147099201","18725-2"
"LAB:501519981","18716-1"
"LAB:3775228","18727-8"
"LAB:3775397","21130-0"
"LAB:13130300","49398-1"
"LAB:3774794","18768-2"
"LAB:3774617","3066-8"
"LAB:3775116","2709-4"
"LAB:3775023","48850-2"
"LAB:3775950","35331-8"
"LAB:3774967","18727-8"
"LAB:3727523","2923-1"
"LAB:3775793","6121-8"
"LAB:359468275","24113-3"
"LAB:470531004","35162-7"
"LAB:13130294","18725-2"
"LAB:34975687","30565-6"
"LAB:3775955","27820-0"
"LAB:3775494","3026-2"
"LAB:3775022","9783-2"
"LAB:486294298","39528-5"
"LAB:3776144","20661-5"
"LAB:258248405","57802-1"
"LAB:359468272","13952-7"
"LAB:3776048","2963-7"
"LAB:3775919","18719-5"
"LAB:13298851","26435-8"
"LAB:11519563","18727-8"
"LAB:3774813","18723-7"
"LAB:3775871","5946-9"
"LAB:72465865","26435-8"
"LAB:501519695","18716-1"
"LAB:3774904","55916-1"
"LAB:3775796","6229-9"
"LAB:82920269","26435-8"
"LAB:3727002","18719-5"
"LAB:106753550","18767-4"
"LAB:580107855","18244-4"
"LAB:3776092","2746-6"
"LAB:3775523","18719-5"
"LAB:501519713","7474-0"
"LAB:3775267","18768-2"
"LAB:3775837","18767-4"
"LAB:359468272","18727-8"
"LAB:3775644","18767-4"
"LAB:285955259","18720-3"
"LAB:3774853","33536-4"
"LAB:3775356","5685-3"
"LAB:3775716","18768-2"
"LAB:3775258","18719-5"
"LAB:3775169","18767-4"
"LAB:3776050","18719-5"
"LAB:3775401","56677-8"
"LAB:3774894","18719-5"
"LAB:3775491","18768-2"
"LAB:3774636","18719-5"
"LAB:3776145","22672-0"
"LAB:52891205","66753-5"
"LAB:3775700","40538-1"
"LAB:3775964","2731-8"
"LAB:4743994","26967-0"
"LAB:3775574","3040-3"
"LAB:4744003","27044-7"
"LAB:3775712","38258-0"
"LAB:3775505","18719-5"
"LAB:53426638","26435-8"
"LAB:52891219","18720-3"
"LAB:3775935","2548-6"
"LAB:3774475","18720-3"
"LAB:3776137","20658-1"
"LAB:3775501","18719-5"
"LAB:501519637","59615-5"
"LAB:3775991","6128-3"
"LAB:3775480","18716-1"
"LAB:10865252","18727-8"
"LAB:511259639","18719-5"
"LAB:317665166","19049-6"
"LAB:3775080","18728-6"
"LAB:3775034","18719-5"
"LAB:3775525","19153-6"
"LAB:3776030","3149-2"
"LAB:34975687","18719-5"
"LAB:3776049","2963-7"
"LAB:3774988","18729-4"
"LAB:3776039","14627-4"
"LAB:3998830","35278-1"
"LAB:3775133","47739-8"
"LAB:3775567","14286-9"
"LAB:117951551","39001-3"
"LAB:89829669","18729-4"
"LAB:3775515","19153-6"
"LAB:3775349","5633-3"
"LAB:3775435","6765-2"
"LAB:3775775","18716-1"
"LAB:3776128","18720-3"
"LAB:3775446","2193-1"
"LAB:233650222","3181-5"
"LAB:3774934","40960-7"
"LAB:3776038","2711-0"
"LAB:4743959","18719-5"
