Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,screening,,text,Participant ID,,,integer,100000,999999,,,,,,,,
screen_date,screening,,text,Date Screened,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,9/30/20,,,,Y,,,,,
sex,screening,,radio,Sex,"1, Male | 2, Female",,,,,,,Y,RH,,,,
alive,screening,,radio,Is the potential participant alive?,"1, Alive | 2, Deceased",,,,,,,Y,RH,,,,
consent_waiver,screening,,radio,Will the participant be approached/contacted for consent?,"1, Will be approached for consent | 2, Will not be approached for consent",,,,,,"[alive] = ""1""",Y,,,,,
reason_not_approach,screening,,checkbox,Reason participant will not be approached/contacted for consent (choose all that apply),"2, Does not want to be a part of research | 3, Concerned about confidentiality | 4, Too much of a time commitment | 5, Refusal to follow study visit schedule | 6, Physician decision that participant is not a good candidate for the study | 7, Travel distance to/from site too far for study visits | 8, Older than 21 years of age at time of consent | 9, Did not have fever of at least 38 degrees C for at least 24 hours, either documented or reported | 10, No laboratory evidence of inflammation as outlined in the protocol | 11, No evidence of clinically severe illness requiring hospitalization with multisystem organ involvement | 12, Negative result for SARS-CoV-2 infection | 13, No known COVID-19 exposure within 4 weeks prior to onset of symptoms | 14, Has plausible alternative diagnosis as outlined in the protocol | 15, Other",,,,,,"[consent_waiver] = ""2""",Y,,,,,
reason_not_approach_oth,screening,,text,"If other reason, please specify",,,,,,,"[reason_not_approach(15)] = ""1""",Y,,,,,
deceased_waiver,screening,,radio,Will you collect retrospective data under a waiver of consent?,"1, Will enroll in study with waiver | 0, Will not enroll in study",,,,,,"[alive] = ""2""",Y,,,,,
reason_no_waiver,screening,,checkbox,Reason waiver of consent will not be enacted and data not collected (choose all that apply),"8, Older than 21 years of age at time of consent | 9, Did not have fever of at least 38 degrees C for at least 24 hours, either documented or reported | 10, No laboratory evidence of inflammation as outlined in the protocol | 11, No evidence of clinically severe illness requiring hospitalization with multisystem organ involvement | 12, Negative result for SARS-CoV-2 infection | 13, No known COVID-19 exposure within 4 weeks prior to onset of symptoms | 14, Has plausible alternative diagnosis as outlined in the protocol | 15, Other",,,,,,"[deceased_waiver] = ""0""",Y,,,,,
reason_no_waiver_oth,screening,,text,"If other reason, please specify",,,,,,,"[reason_no_waiver(15)] = ""1""",Y,,,,,
overcoming_covid,screening,,radio,Did this person participate in the Overcoming COVID-19 study in some way (Please ask OC-19 study team rather than asking the participant/family)?,"1, Yes | 0, No",,,,,,,Y,RH,,,,
hashed_id,screening,,text,Hashed Identifier,,"If unknown, enter ""-99""",,,,,,,,,,,
ic_na,informed_consent_and_enrollment,,radio,"<font color=""red"">WARNING: The Screening form does NOT indicate that this participant will be approached for consent. Please check the Screening form before moving forward</font>","1, Acknowledged",,,,,,"!([consent_waiver] = ""1"")",,LV,,,,
ic_consent,informed_consent_and_enrollment,Study Consent,radio,Was consent obtained from the Participant/Parent/Legal guardian?,"1, Yes | 0, No",,,,,,,Y,RH,,,,
ic_date,informed_consent_and_enrollment,,text,Date consent signed,,"mm-dd-yyyy or enter ""-99"" if unknown",date_mdy,9/30/20,,,"[ic_consent] = ""1""",Y,,,,,
ic_biorepository,informed_consent_and_enrollment,Genetic Biorepository Consent,radio,Did the Participant/Parent/Legal guardian agree to genetic biorepository?,"1, Yes | 0, No",,,,,,"[ic_consent] = ""1""",Y,RH,,,,
ic_samples_shared,informed_consent_and_enrollment,,radio,"Did the participant agree to: ""I agree to have my data and samples shared in a central biobank after PHN funding ends for future studies in heart disease and other diseases.""","1, Yes | 0, No",,,,,,"[ic_biorepository] = ""1""",Y,RH,,,,
ic_contact_results,informed_consent_and_enrollment,,radio,"Did the participant agree to: ""I agree to be contacted in the future for return of results of my genetic testing.""","1, Yes | 0, No",,,,,,"[ic_biorepository] = ""1""",Y,RH,,,,
ic_contact_new_studies,informed_consent_and_enrollment,,radio,"Did the participant agree to: ""I agree to be contacted in the future to collect health information about me and my family and to be offered participation in new studies.""","1, Yes | 0, No",,,,,,"[ic_biorepository] = ""1""",Y,RH,,,,
ic_claims_data,informed_consent_and_enrollment,Health Plan Claims Data,radio,RELEASE OF HEALTH PLAN CLAIMS DATA (for use only for those insured by an Anthem Health Plan - US Only)          ,"88, Not Applicable | 1, Yes | 0, No",,,,,,"[ic_consent] = ""1""",Y,RH,,,,
ic_health_plan,informed_consent_and_enrollment,,text,Name of Health Plan,,,,,,,"[ic_claims_data] = ""1""",Y,,,,,
ic_reason,informed_consent_and_enrollment,,checkbox,Reason for not obtaining informed consent (choose all that apply),"2, Does not want to be a part of research study | 3, Concerned about confidentiality | 4, Too much of a time commitment | 5, Refusal to follow study visit schedule | 6, Physician decision that participant is not a good candidate for the study | 7, Travel distance to/from site too far for study visits | 8, Older than 21 years of age at time of consent | 9, Did not have fever of at least 38 degrees C for at least 24 hours, either documented or reported | 10, No laboratory evidence of inflammation as outlined in the protocol | 11, No evidence of clinically severe illness requiring hospitalization with multisystem organ involvement | 12, Negative result for SARS-CoV-2 infection | 13, No known COVID-19 exposure within 4 weeks prior to onset of symptoms | 14, Has plausible alternative diagnosis as outlined in the protocol | 16, Could not reach participant | 15, Other","If participant is now deceased, please return to Screening form and change information to indicate deceased.",,,,,"[ic_consent] = ""0""",Y,,,,,
ic_specify,informed_consent_and_enrollment,,text,Please specify:,,,,,,,"[ic_reason(15)] = ""1""",Y,,,,,
ic_waiver,informed_consent_and_enrollment,,radio,Was the participant enrolled under waiver of consent after 3 unsuccessful attempts were made to contact them?,"1, Yes | 0, No",,,,,,"[ic_reason(16)] = ""1"" and [ic_reason(2)] <> ""1"" and [ic_reason(3)] <> ""1"" and [ic_reason(4)] <> ""1"" and [ic_reason(5)] <> ""1"" and [ic_reason(6)] <> ""1"" and [ic_reason(7)] <> ""1"" and [ic_reason(8)] <> ""1"" and [ic_reason(9)] <> ""1"" and [ic_reason(10)] <> ""1"" and [ic_reason(11)] <> ""1"" and [ic_reason(12)] <> ""1"" and [ic_reason(13)] <> ""1"" and [ic_reason(14)] <> ""1""",,RH,,,,
ic_did_not_attempt,informed_consent_and_enrollment,,text,Reason three attempts not made to reach the potential participant?,,,,,,,"[ic_waiver] = ""0""",Y,,,,,
elig_na,eligibility,,radio,"<font color=""red"">WARNING: The Screening and Informed Consent forms do NOT indicate that this participant has consented or will have a waiver of consent. Please check the Screening and Informed Consent forms before moving forward</font>","1, Acknowledged",,,,,,"!([ic_consent] = ""1"" or [ic_waiver] = ""1"" or [deceased_waiver] = ""1"")",,LV,,,,
elig1,eligibility,Inclusion Criteria,radio,1. Age <21 years.,"1, Yes | 0, No",,,,,,,Y,RH,,,,
elig2,eligibility,,radio,"2. Fever above or equal to 38 degrees Celsius for at least 24 hours, or report of subjective fever lasting at least 24 hours.","1, Yes | 0, No",,,,,,,Y,RH,,,,
elig3,eligibility,,radio,"3. Laboratory evidence of inflammation, including, but not limited to, one or more of the following: an elevated CRP, ESR, fibrinogen, procalcitonin, d-dimer, ferritin, LDH, or IL-6, elevated neutrophils, reduced lymphocytes and low albumin.","1, Yes | 0, No",,,,,,,Y,RH,,,,
