variableName concept_cd formName
wbc_obtained LAB:3775652 laboratory_values
wbc_date LAB:3775652 laboratory_values
wbc_value LAB:3775652 laboratory_values
wbc_unit LAB:3775652 laboratory_values
hemoglobin_obtained LAB:3775655 laboratory_values
hemoglobin_date LAB:3775655 laboratory_values
hemoglobin_value LAB:3775655 laboratory_values
hemoglobin_unit LAB:3775655 laboratory_values
hematocrit_obtained LAB:3775656 laboratory_values
hematocrit_date LAB:3775656 laboratory_values
hematocrit_value LAB:3775656 laboratory_values
hematocrit_unit LAB:3775656 laboratory_values
platelets_obtained LAB:3775660 laboratory_values
platelets_date LAB:3775660 laboratory_values
platelets_value LAB:3775660 laboratory_values
platelets_unit LAB:3775660 laboratory_values
lymphocyt_obtained LAB:3775715 laboratory_values
lymphocyt_date LAB:3775715 laboratory_values
lymphocyt_value LAB:3775715 laboratory_values
lymphocyt_unit LAB:3775715 laboratory_values
neutrophil_obtained LAB:3775714 laboratory_values
neutrophil_date LAB:3775714 laboratory_values
neutrophil_value LAB:3775714 laboratory_values
neutrophil_unit LAB:3775714 laboratory_values
pt_seconds_obtained LAB:3775723 laboratory_values
pt_seconds_date LAB:3775723 laboratory_values
pt_seconds_value LAB:3775723 laboratory_values
pt_seconds_unit LAB:3775723 laboratory_values
inr_units_obtained LAB:3775729 laboratory_values
inr_units_date LAB:3775729 laboratory_values
inr_units_value LAB:3775729 laboratory_values
inr_units_unit LAB:3775729 laboratory_values
aptt_ptt_obtained LAB:3775725 laboratory_values
aptt_ptt_obtained LAB:3775726 laboratory_values
aptt_ptt_date LAB:3775725 laboratory_values
aptt_ptt_date LAB:3775726 laboratory_values
aptt_ptt_value LAB:3775725 laboratory_values
aptt_ptt_value LAB:3775726 laboratory_values
aptt_ptt_unit LAB:3775725 laboratory_values
aptt_ptt_unit LAB:3775726 laboratory_values
fibrinogen_obtained LAB:3775728 laboratory_values
fibrinogen_date LAB:3775728 laboratory_values
fibrinogen_value LAB:3775728 laboratory_values
fibrinogen_unit LAB:3775728 laboratory_values
thrombin_tm_obtained LAB:3775187 laboratory_values
thrombin_tm_date LAB:3775187 laboratory_values
thrombin_tm_value LAB:3775187 laboratory_values
thrombin_tm_unit LAB:3775187 laboratory_values
d_dimer_obtained LAB:3726100 laboratory_values
d_dimer_date LAB:3726100 laboratory_values
d_dimer_value LAB:3726100 laboratory_values
d_dimer_unit LAB:3726100 laboratory_values
sodium_obtained LAB:3710029 laboratory_values
sodium_date LAB:3710029 laboratory_values
sodium_value LAB:3710029 laboratory_values
sodium_unit LAB:3710029 laboratory_values
potassium_obtained LAB:3710032 laboratory_values
potassium_date LAB:3710032 laboratory_values
potassium_value LAB:3710032 laboratory_values
potassium_unit LAB:3710032 laboratory_values
glucose_obtained LAB:3775603 laboratory_values
glucose_date LAB:3775603 laboratory_values
glucose_value LAB:3775603 laboratory_values
glucose_unit LAB:3775603 laboratory_values
creatinine_obtained LAB:2700655 laboratory_values
creatinine_date LAB:2700655 laboratory_values
creatinine_value LAB:2700655 laboratory_values
creatinine_unit LAB:2700655 laboratory_values
ast_sgot_obtained LAB:3775137 laboratory_values
ast_sgot_date LAB:3775137 laboratory_values
ast_sgot_value LAB:3775137 laboratory_values
ast_sgot_unit LAB:3775137 laboratory_values
ast_sgpt_obtained LAB:3775138 laboratory_values
ast_sgpt_date LAB:3775138 laboratory_values
ast_sgpt_value LAB:3775138 laboratory_values
ast_sgpt_unit LAB:3775138 laboratory_values
ggtp_obtained LAB:3775139 laboratory_values
ggtp_date LAB:3775139 laboratory_values
ggtp_value LAB:3775139 laboratory_values
ggtp_unit LAB:3775139 laboratory_values
ldh_obtained LAB:3775623 laboratory_values
ldh_date LAB:3775623 laboratory_values
ldh_value LAB:3775623 laboratory_values
ldh_unit LAB:3775623 laboratory_values
bnp_obtained LAB:3998842 laboratory_values
bnp_date LAB:3998842 laboratory_values
bnp_value LAB:3998842 laboratory_values
bnp_unit LAB:3998842 laboratory_values
albumin_obtained LAB:3775084 laboratory_values
albumin_date LAB:3775084 laboratory_values
albumin_value LAB:3775084 laboratory_values
albumin_unit LAB:3775084 laboratory_values
total_protein_obtained LAB:3775132 laboratory_values
total_protein_date LAB:3775132 laboratory_values
total_protein_value LAB:3775132 laboratory_values
total_protein_unit LAB:3775132 laboratory_values
creatine_kin_obtained LAB:3775581 laboratory_values
creatine_kin_date LAB:3775581 laboratory_values
creatine_kin_value LAB:3775581 laboratory_values
creatine_kin_unit LAB:3775581 laboratory_values
troponin_t_obtained LAB:3727476 laboratory_values
troponin_t_date LAB:3727476 laboratory_values
troponin_t_value LAB:3727476 laboratory_values
troponin_t_unit LAB:3727476 laboratory_values
total_bilir_obtained LAB:3775097 laboratory_values
total_bilir_date LAB:3775097 laboratory_values
total_bilir_value LAB:3775097 laboratory_values
total_bilir_unit LAB:3775097 laboratory_values
direct_bilir_obtained LAB:3775096 laboratory_values
direct_bilir_date LAB:3775096 laboratory_values
direct_bilir_value LAB:3775096 laboratory_values
direct_bilir_unit LAB:3775096 laboratory_values
procalcit_obtained LAB:899263035 laboratory_values
procalcit_date LAB:899263035 laboratory_values
procalcit_value LAB:899263035 laboratory_values
procalcit_unit LAB:899263035 laboratory_values
crp_obtained LAB:3775578 laboratory_values
crp_date LAB:3775578 laboratory_values
crp_value LAB:3775578 laboratory_values
crp_unit LAB:3775578 laboratory_values
esr_obtained LAB:3775678 laboratory_values
esr_date LAB:3775678 laboratory_values
esr_value LAB:3775678 laboratory_values
esr_unit LAB:3775678 laboratory_values
ferritin_obtained LAB:3726226 laboratory_values
ferritin_date LAB:3726226 laboratory_values
ferritin_value LAB:3726226 laboratory_values
ferritin_unit LAB:3726226 laboratory_values
triglycerid_obtained LAB:3727470 laboratory_values
triglycerid_date LAB:3727470 laboratory_values
triglycerid_value LAB:3727470 laboratory_values
triglycerid_unit LAB:3727470 laboratory_values
tnf_alpha_obtained LAB:43435810 laboratory_values
tnf_alpha_date LAB:43435810 laboratory_values
tnf_alpha_value LAB:43435810 laboratory_values
tnf_alpha_unit LAB:43435810 laboratory_values
il_1_obtained LAB:43435804 laboratory_values
il_1_date LAB:43435804 laboratory_values
il_1_value LAB:43435804 laboratory_values
il_1_unit LAB:43435804 laboratory_values
il_2_obtained LAB:43435799 laboratory_values
il_2_date LAB:43435799 laboratory_values
il_2_value LAB:43435799 laboratory_values
il_2_unit LAB:43435799 laboratory_values
il_2_receptor_obtained LAB:43435800 laboratory_values
il_2_receptor_date LAB:43435800 laboratory_values
il_2_receptor_value LAB:43435800 laboratory_values
il_2_receptor_unit LAB:43435800 laboratory_values
il_4_obtained LAB:43435807 laboratory_values
il_4_date LAB:43435807 laboratory_values
il_4_value LAB:43435807 laboratory_values
il_4_unit LAB:43435807 laboratory_values
il_5_obtained LAB:43435809 laboratory_values
il_5_date LAB:43435809 laboratory_values
il_5_value LAB:43435809 laboratory_values
il_5_unit LAB:43435809 laboratory_values
il_6_obtained LAB:43435808 laboratory_values
il_6_date LAB:43435808 laboratory_values
il_6_value LAB:43435808 laboratory_values
il_6_unit LAB:43435808 laboratory_values
il_8_obtained LAB:43435803 laboratory_values
il_8_date LAB:43435803 laboratory_values
il_8_value LAB:43435803 laboratory_values
il_8_unit LAB:43435803 laboratory_values
il_10_obtained LAB:43435805 laboratory_values
il_10_date LAB:43435805 laboratory_values
il_10_value LAB:43435805 laboratory_values
il_10_unit LAB:43435805 laboratory_values
il_12_obtained LAB:43435801 laboratory_values
il_12_date LAB:43435801 laboratory_values
il_12_value LAB:43435801 laboratory_values
il_12_unit LAB:43435801 laboratory_values
il_13_obtained LAB:43435806 laboratory_values
il_13_date LAB:43435806 laboratory_values
il_13_value LAB:43435806 laboratory_values
il_13_unit LAB:43435806 laboratory_values
ifn_gamma_obtained LAB:43435802 laboratory_values
ifn_gamma_date LAB:43435802 laboratory_values
ifn_gamma_value LAB:43435802 laboratory_values
ifn_gamma_unit LAB:43435802 laboratory_values
igg_obtained LAB:3775618 laboratory_values
igg_date LAB:3775618 laboratory_values
igg_value LAB:3775618 laboratory_values
igg_unit LAB:3775618 laboratory_values
iga_obtained LAB:3775615 laboratory_values
iga_date LAB:3775615 laboratory_values
iga_value LAB:3775615 laboratory_values
iga_unit LAB:3775615 laboratory_values
igm_obtained LAB:3775619 laboratory_values
igm_date LAB:3775619 laboratory_values
igm_value LAB:3775619 laboratory_values
igm_unit LAB:3775619 laboratory_values
c3_obtained LAB:3775560 laboratory_values
c3_date LAB:3775560 laboratory_values
c3_value LAB:3775560 laboratory_values
c3_unit LAB:3775560 laboratory_values
c4_obtained LAB:3775562 laboratory_values
c4_date LAB:3775562 laboratory_values
c4_value LAB:3775562 laboratory_values
c4_unit LAB:3775562 laboratory_values
