"eCRF_name","ECRF_CODE","ECRF_GENERIC_NAME","ECRF_TRADE_NAMES","RXNORM_CODE","RXNORM_DESCRIPTION","CONCEPT_CD","CONCEPT_CD_DESCRIPTION","MED_ROUTE","min_date","max_date","distinct_patients","distinct_observations"
"medcations_before_and_after","02.09","Lidocaine","Xylocaine","608568","lidocaine / tetracaine","ADMINMED:16302555","lidocaine / tetracaine","TOP",2020-07-19,2021-01-26,3,8
"medcations_before_and_after","02.09","Lidocaine","Xylocaine","1164060","lidocaine / tetracaine Topical Product","ADMINMED:16302555","lidocaine-tetracaine topical","TOP",2020-07-19,2021-01-26,3,8
"medcations_before_and_after","02.09","Lidocaine","Xylocaine","6387","lidocaine","ADMINMED:2798122","lidocaine","TOP",2020-12-09,2021-01-06,2,4
"medcations_before_and_after","02.09","Lidocaine","Xylocaine","1164666","lidocaine Topical Product","ADMINMED:2798122","lidocaine topical","TOP",2020-12-09,2021-01-06,2,4
"medcations_before_and_after","02.09","Lidocaine","Xylocaine","166283","lidocaine / prilocaine","ADMINMED:2798124","lidocaine / prilocaine","TOP",2021-03-08,2021-03-08,1,2
"medcations_before_and_after","02.09","Lidocaine","Xylocaine","1164058","lidocaine / prilocaine Topical Product","ADMINMED:2798124","lidocaine-prilocaine topical","TOP",2021-03-08,2021-03-08,1,2
"medcations_before_and_after","02.09","Lidocaine","Xylocaine","6387","lidocaine","ADMINMED:297664418","lidocaine","ID",2021-03-16,2021-04-07,3,3
"medcations_before_and_after","02.09","Lidocaine","Xylocaine","6387","lidocaine","ADMINMED:4103284","lidocaine","ID",2020-05-26,2021-03-02,12,17
"medcations_before_and_after","02.09","Lidocaine","Xylocaine","6387","lidocaine","ADMINMED:4103284","lidocaine","IV",2021-01-24,2021-01-26,1,53
"medcations_before_and_after","02.09","Lidocaine","Xylocaine","166283","lidocaine / prilocaine","HOMEMED:3681307","lidocaine / prilocaine","",2020-08-23,2021-03-05,2,6
"medcations_before_and_after","02.09","Lidocaine","Xylocaine","1164058","lidocaine / prilocaine Topical Product","HOMEMED:3681307","lidocaine-prilocaine topical","",2020-08-23,2021-03-05,2,6
"medcations_before_and_after","02.13","Procainamide","Pronestyl, Procan","8700","procainamide","ADMINMED:2798546","procainamide","IV",2021-03-08,2021-03-13,1,141
"medcations_before_and_after","02.13","Procainamide","Pronestyl, Procan","8700","procainamide","ADMINMED:2798546","procainamide","IV Loading Dose",2021-03-10,2021-03-10,1,1
"medcations_before_and_after","03.03","Amipicillin/Sulbactam","Unasyn","1009148","ampicillin / sulbactam","ADMINMED:2796908","ampicillin-sulbactam","IV",2017-11-03,2021-05-04,3,196
"medcations_before_and_after","03.03","Amipicillin/Sulbactam","Unasyn","1009148","ampicillin / sulbactam","ADMINMED:2796908","ampicillin / sulbactam","IV",2017-11-03,2021-05-04,3,196
"medcations_before_and_after","03.04","Amoxicillin","Amoxil","723","amoxicillin","ADMINMED:2796897","amoxicillin","PO",2009-06-12,2021-04-27,5,18
"medcations_before_and_after","03.04","Amoxicillin","Amoxil","19711","amoxicillin / clavulanate","ADMINMED:2796899","amoxicillin-clavulanate","PO",2017-11-04,2020-07-23,2,12
"medcations_before_and_after","03.04","Amoxicillin","Amoxil","19711","amoxicillin / clavulanate","ADMINMED:2796899","amoxicillin / clavulanate","PO",2017-11-04,2020-07-23,2,12
"medcations_before_and_after","03.04","Amoxicillin","Amoxil","723","amoxicillin","HOMEMED:3653741","amoxicillin","",2011-08-17,2021-03-21,2,2
"medcations_before_and_after","03.04","Amoxicillin","Amoxil","723","amoxicillin","HOMEMED:3653753","amoxicillin","",2020-05-29,2020-05-29,1,2
"medcations_before_and_after","03.04","Amoxicillin","Amoxil","723","amoxicillin","HOMEMED:3653758","amoxicillin","",2009-06-15,2021-04-24,5,12
"medcations_before_and_after","03.04","Amoxicillin","Amoxil","19711","amoxicillin / clavulanate","HOMEMED:3653800","amoxicillin-clavulanate","",2016-12-23,2016-12-23,1,8
"medcations_before_and_after","03.04","Amoxicillin","Amoxil","19711","amoxicillin / clavulanate","HOMEMED:3653800","amoxicillin / clavulanate","",2016-12-23,2016-12-23,1,8
"medcations_before_and_after","03.04","Amoxicillin","Amoxil","19711","amoxicillin / clavulanate","HOMEMED:3653807","amoxicillin-clavulanate","",2020-07-16,2020-07-16,1,4
"medcations_before_and_after","03.04","Amoxicillin","Amoxil","19711","amoxicillin / clavulanate","HOMEMED:3653807","amoxicillin / clavulanate","",2020-07-16,2020-07-16,1,4
"medcations_before_and_after","03.04","Amoxicillin","Amoxil","19711","amoxicillin / clavulanate","HOMEMED:3653809","amoxicillin-clavulanate","",2021-04-24,2021-04-24,1,4
"medcations_before_and_after","03.04","Amoxicillin","Amoxil","19711","amoxicillin / clavulanate","HOMEMED:3653809","amoxicillin / clavulanate","",2021-04-24,2021-04-24,1,4
"medcations_before_and_after","03.04","Amoxicillin","Amoxil","19711","amoxicillin / clavulanate","HOMEMED:3653817","amoxicillin-clavulanate","",2014-03-14,2014-03-14,1,4
"medcations_before_and_after","03.04","Amoxicillin","Amoxil","19711","amoxicillin / clavulanate","HOMEMED:3653817","amoxicillin / clavulanate","",2014-03-14,2014-03-14,1,4
"medcations_before_and_after","03.04","Amoxicillin","Amoxil","19711","amoxicillin / clavulanate","HOMEMED:3653821","amoxicillin-clavulanate","",2020-07-23,2020-07-23,1,4
"medcations_before_and_after","03.04","Amoxicillin","Amoxil","19711","amoxicillin / clavulanate","HOMEMED:3653821","amoxicillin / clavulanate","",2020-07-23,2020-07-23,1,4
"medcations_before_and_after","03.04","Amoxicillin","Amoxil","19711","amoxicillin / clavulanate","HOMEMED:3653822","amoxicillin-clavulanate","",2017-11-04,2017-11-04,1,4
"medcations_before_and_after","03.04","Amoxicillin","Amoxil","19711","amoxicillin / clavulanate","HOMEMED:3653822","amoxicillin / clavulanate","",2017-11-04,2017-11-04,1,4
"medcations_before_and_after","03.05","Amoxicillin-Clavulanic Acid","Augmentin","19711","amoxicillin / clavulanate","ADMINMED:2796899","amoxicillin-clavulanate","PO",2017-11-04,2020-07-23,2,12
"medcations_before_and_after","03.05","Amoxicillin-Clavulanic Acid","Augmentin","19711","amoxicillin / clavulanate","ADMINMED:2796899","amoxicillin / clavulanate","PO",2017-11-04,2020-07-23,2,12
"medcations_before_and_after","03.05","Amoxicillin-Clavulanic Acid","Augmentin","19711","amoxicillin / clavulanate","HOMEMED:3653800","amoxicillin-clavulanate","",2016-12-23,2016-12-23,1,8
"medcations_before_and_after","03.05","Amoxicillin-Clavulanic Acid","Augmentin","19711","amoxicillin / clavulanate","HOMEMED:3653800","amoxicillin / clavulanate","",2016-12-23,2016-12-23,1,8
"medcations_before_and_after","03.05","Amoxicillin-Clavulanic Acid","Augmentin","19711","amoxicillin / clavulanate","HOMEMED:3653807","amoxicillin-clavulanate","",2020-07-16,2020-07-16,1,4
"medcations_before_and_after","03.05","Amoxicillin-Clavulanic Acid","Augmentin","19711","amoxicillin / clavulanate","HOMEMED:3653807","amoxicillin / clavulanate","",2020-07-16,2020-07-16,1,4
"medcations_before_and_after","03.05","Amoxicillin-Clavulanic Acid","Augmentin","19711","amoxicillin / clavulanate","HOMEMED:3653809","amoxicillin-clavulanate","",2021-04-24,2021-04-24,1,4
"medcations_before_and_after","03.05","Amoxicillin-Clavulanic Acid","Augmentin","19711","amoxicillin / clavulanate","HOMEMED:3653809","amoxicillin / clavulanate","",2021-04-24,2021-04-24,1,4
"medcations_before_and_after","03.05","Amoxicillin-Clavulanic Acid","Augmentin","19711","amoxicillin / clavulanate","HOMEMED:3653817","amoxicillin-clavulanate","",2014-03-14,2014-03-14,1,4
"medcations_before_and_after","03.05","Amoxicillin-Clavulanic Acid","Augmentin","19711","amoxicillin / clavulanate","HOMEMED:3653817","amoxicillin / clavulanate","",2014-03-14,2014-03-14,1,4
"medcations_before_and_after","03.05","Amoxicillin-Clavulanic Acid","Augmentin","19711","amoxicillin / clavulanate","HOMEMED:3653821","amoxicillin-clavulanate","",2020-07-23,2020-07-23,1,4
"medcations_before_and_after","03.05","Amoxicillin-Clavulanic Acid","Augmentin","19711","amoxicillin / clavulanate","HOMEMED:3653821","amoxicillin / clavulanate","",2020-07-23,2020-07-23,1,4
"medcations_before_and_after","03.05","Amoxicillin-Clavulanic Acid","Augmentin","19711","amoxicillin / clavulanate","HOMEMED:3653822","amoxicillin-clavulanate","",2017-11-04,2017-11-04,1,4
"medcations_before_and_after","03.05","Amoxicillin-Clavulanic Acid","Augmentin","19711","amoxicillin / clavulanate","HOMEMED:3653822","amoxicillin / clavulanate","",2017-11-04,2017-11-04,1,4
"medcations_before_and_after","03.07","Ampicillin","Omnipen","733","ampicillin","ADMINMED:2796907","ampicillin","IV",2011-08-25,2020-05-28,2,8
"medcations_before_and_after","03.07","Ampicillin","Omnipen","1009148","ampicillin / sulbactam","ADMINMED:2796908","ampicillin-sulbactam","IV",2017-11-03,2021-05-04,3,196
"medcations_before_and_after","03.07","Ampicillin","Omnipen","1009148","ampicillin / sulbactam","ADMINMED:2796908","ampicillin / sulbactam","IV",2017-11-03,2021-05-04,3,196
"medcations_before_and_after","03.08","Azithromycin","Zithromax","18631","azithromycin","ADMINMED:2797013","azithromycin","IV",2009-06-10,2020-05-18,3,13
"medcations_before_and_after","03.08","Azithromycin","Zithromax","18631","azithromycin","ADMINMED:2797013","azithromycin","PO",2009-06-09,2020-05-05,1,2
"medcations_before_and_after","03.08","Azithromycin","Zithromax","18631","azithromycin","HOMEMED:3655108","azithromycin","",2017-11-27,2017-11-27,1,1
"medcations_before_and_after","03.08","Azithromycin","Zithromax","18631","azithromycin","HOMEMED:3655109","azithromycin","",2018-11-02,2018-11-02,1,1
"medcations_before_and_after","03.11","Cefazolin","Ancef, Kefzol","2180","cefazolin | ceFAZolin","ADMINMED:2797220","cefazolin","IV",2016-05-13,2019-07-19,2,3
"medcations_before_and_after","03.12","Cefepime","Maxipime","20481","cefepime","ADMINMED:2797223","cefepime","IV",2021-04-24,2021-04-27,1,8
"medcations_before_and_after","03.15","Ceftriaxone","Rocephin","2193","ceftriaxone | cefTRIAXone","ADMINMED:2797232","ceftriaxone","IM",2019-09-27,2019-09-29,1,3
"medcations_before_and_after","03.15","Ceftriaxone","Rocephin","2193","ceftriaxone | cefTRIAXone","ADMINMED:2797232","ceftriaxone","IV",2007-05-23,2021-03-14,26,73
"medcations_before_and_after","03.15","Ceftriaxone","Rocephin","2193","ceftriaxone | cefTRIAXone","HOMEMED:3670549","ceftriaxone","",2021-02-20,2021-02-20,1,1
"medcations_before_and_after","03.17","Ciprofloxacin","Cipro","465397","ciprofloxacin / dexamethasone","ADMINMED:4103207","ciprofloxacin / dexamethasone","OTIC",2016-10-21,2017-11-04,1,24
"medcations_before_and_after","03.17","Ciprofloxacin","Cipro","1152113","ciprofloxacin / dexamethasone Otic Product","ADMINMED:4103207","ciprofloxacin-dexamethasone otic","OTIC",2016-10-21,2017-11-04,1,24
