keyword	ECRF_CODE	concept_cd
acetaminophen	22.01	ACETAMINOPHEN 80 MG RECTAL SUPP
acetaminophen	22.01	ACETAMINOPHEN 325 MG ORAL TABS
acetaminophen	22.01	ACETAMINOPHEN 500 MG ORAL TABS
acetaminophen	22.01	ACETAMINOPHEN 160 MG 5ML ORAL SUSP
acetaminophen	22.01	ACETAMINOPHEN 160 MG ORAL CHEW
acetaminophen	22.01	ACETAMINOPHEN 10 MG ML INTRAVENOUS SOLN
acetaminophen	22.01	ACETAMINOPHEN 120 MG RECTAL SUPP
acetaminophen	22.01	ACETAMINOPHEN PO SUSP 160 MG 5 ML UD
acetazolamide	14.01	ACETAZOLAMIDE 50 MG ML PO SUSP (TCH) RX
acetazolamide	14.01	ACETAZOLAMIDE INJ 100 MG ML
acetazolamide	14.01	ACETAZOLAMIDE 250 MG ORAL TABS
albuterol	10.01	ALBUTEROL SULFATE (2.5 MG 3ML) 0.083% INHALATION NEBU
albuterol	10.01	ALBUTEROL INH 1.3 MG ML 60 ML (TCH) RX
albuterol	10.01	ALBUTEROL INH 0.6 MG ML 60 ML (TCH) RX
albuterol	10.01	ALBUTEROL SULFATE 1.25 MG 3ML INHALATION NEBU
albuterol	10.01	ALBUTEROL SULFATE HFA 108 (90 BASE) MCG ACT INHALATION AERS
aminophylline	10.02	AMINOPHYLLINE INJECTION 25 MG ML
amiodarone	2.02	AMIODARONE HCL 200 MG ORAL TABS
amiodarone	2.02	AMIODARONE CONT IV INFUSION 2 MG ML
amiodarone	2.02	AMIODARONE CONT IV INFUSION 6 MG ML
amiodarone	2.02	AMIODARONE INJECTION 2 MG ML
amiodarone	2.02	AMIODARONE PO SUSP 5 MG ML (TCH) RX
ampicillin	3.07	AMPICILLIN INJ 100 MG ML (2 G VIAL)
ampicillin	3.07	AMPICILLIN SULBACTAM INJ 20 MG ML
anakinra	26.02	ANAKINRA SUBCUT INJ 100 MG 0.67ML
anakinra	26.02	ANAKINRA INTRAVENOUS INJECTION 100 MG 0.67 ML
aspirin	7.02	ASPIRIN 325 MG ORAL TBEC
aspirin	7.02	ASPIRIN 81 MG ORAL CHEW
aspirin	7.02	ASPIRIN 325 MG ORAL TABS
atropine	18.02	ATROPINE INJECTION 0.1 MG ML
azithromycin	3.08	AZITHROMYCIN INJ 2 MG ML
bumetanide	14.04	BUMETANIDE CONT IV INFUSION 0.25 MG ML
calcium chloride	15.01	CALCIUM CHLORIDE INJECTION 20 MG ML IN D5W
calcium chloride	15.01	CALCIUM CHLORIDE 10 % IV SOLN
calcium chloride	15.01	CALCIUM CHLORIDE CONT IV INFUSION 20 MG ML
calcium chloride	15.01	CALCIUM CHLORIDE INJECTION 10 % (ANESTHESIA)
calcium chloride	15.01	CALCIUM CHLORIDE 10 % INTRAVENOUS SOLN
calcium chloride	15.01	CALCIUM CHLORIDE CONT IV INFUSION 100 MG ML
calcium chloride	15.01	CALCIUM CHLORIDE INJ 100 MG ML (CODE TRAUMA)
captopril	13.02	CAPTOPRIL PO SUSP 1 MG ML (TCH) RX
carvedilol	8.09	CARVEDILOL 3.125 MG ORAL TABS
cefazolin	3.11	CEFAZOLIN INJECTION 1 GM (OP TIME)
cefazolin	3.11	CEFAZOLIN INJ 100 MG ML
cefepime	3.12	CEFEPIME INJ 40 MG ML
cefepime	3.12	CEFEPIME INJ 20 MG ML
ceftazidime	3.14	CEFTAZIDIME INJ 20 MG ML
ceftriaxone	3.15	CEFTRIAXONE INJ
ceftriaxone	3.15	CEFTRIAXONE IM INJ 450 MG ML
ceftriaxone	3.15	CEFTRIAXONE INJ 40 MG ML
cetirizine	25.05	CETIRIZINE HCL 5 MG 5ML ORAL SOLN
cetirizine	25.05	CETIRIZINE HCL 10 MG ORAL TABS
cetirizine	25.05	CETIRIZINE HCL 5 MG ORAL TABS
chlorothiazide	14.05	CHLOROTHIAZIDE INJ 28 MG ML
clindamycin	3.19	CLINDAMYCIN PHOSPHATE INJECTION 18 MG ML
clindamycin	3.19	CLINDAMYCIN HCL 150 MG ORAL CAPS
clindamycin	3.19	CLINDAMYCIN PALMITATE HCL 75 MG 5ML ORAL SOLR
dexamethasone	18.04	DEXAMETHASONE INJECTION 4 MG ML (ANESTHESIA)
dexamethasone	18.04	DEXAMETHASONE SODIUM PHOSPHATE INJECTION 1 MG ML
dexamethasone	18.04	DEXAMETHASONE INJ FOR PO USE 10 MG ML
diphenhydramine	22.06	DIPHENHYDRAMINE HCL 50 MG ML INJECTION SOLN
diphenhydramine	22.06	DIPHENHYDRAMINE HCL 12.5 MG 5ML ORAL LIQD
diphenhydramine	22.06	DIPHENHYDRAMINE MAALOX PO SUSP 1 1 (TCH) RX
diphenhydramine	22.06	DIPHENHYDRAMINE HCL 25 MG ORAL TABS
dobutamine	19.02	DOBUTAMINE IN D5W 4 MG ML IV SOLN
dopamine	19.03	DOPAMINE IN D5W 3.2 5 MG ML % IV SOLN
dopamine	19.03	DOPAMINE IN D5W 1.6 5 MG ML % IV SOLN
enalapril	13.04	ENALAPRIL MALEATE 2.5 MG ORAL TABS
enalapril	13.04	ENALAPRIL MALEATE 5 MG ORAL TABS
enalapril	13.04	ENALAPRIL MALEATE 1 MG ML ORAL SOLN
enoxaparin	7.06	ENOXAPARIN SODIUM 10 MG 0.1ML SC SOLN
enoxaparin	7.06	ENOXAPARIN SODIUM INJECTION 20 MG ML
epinephrine	19.04	EPINEPHRINE HCL 0.1 MG ML INJECTION SOSY
epinephrine	19.04	EPINEPHRINE CONT IV INFUSION 0.01 MG ML
epinephrine	19.04	EPINEPHRINE HCL CONT IV INFUSION 1 MG ML
epinephrine	19.04	EPINEPHRINE CONT IV INFUSION 0.2 MG ML
epinephrine	19.04	EPINEPHRINE HCL CONT IV INFUSION
epinephrine	19.04	EPINEPHRINE SPRITZER INJ 10 MCG ML (CODE TRAUMA)
epinephrine	19.04	EPINEPHRINE CONT IV INFUSION 0.05 MG ML
esmolol	8.12	ESMOLOL BOLUS INJ 10 MG ML
famotidine	16.11	FAMOTIDINE 20 MG ORAL TABS
famotidine	16.11	FAMOTIDINE 40 MG 5ML ORAL SUSR
famotidine	16.11	FAMOTIDINE 40 MG ORAL TABS
famotidine	16.11	FAMOTIDINE INJECTION 1 MG ML
fentanyl	22.07	FENTANYL INJ 50 MCG ML (CODE TRAUMA)
fentanyl	22.07	FENTANYL INJ 50 MCG ML
fentanyl	22.07	FENTANYL INJECTION 50 MCG ML (ANESTHESIA)
fentanyl	22.07	FENTANYL IV CONT INF 50 MCG ML
fentanyl	22.07	FENTANYL INJ 50 MCG ML BOLUS FROM CONT IV INF
fentanyl	22.07	FENTANYL IV CONT INFUSION 50 MCG ML
fluticasone	10.05	FLUTICASONE PROPIONATE HFA 110 MCG ACT INHALATION AERO
fluticasone	10.05	FLUTICASONE PROPIONATE HFA 44 MCG ACT INHALATION AERO
fluticasone	10.05	FLUTICASONE PROPIONATE 50 MCG ACT NASAL SUSP
furosemide	14.08	FUROSEMIDE 20 MG ORAL TABS
furosemide	14.08	FUROSEMIDE 10 MG ML INJECTION SOLN
furosemide	14.08	FUROSEMIDE CONT IV INFUSION 10 MG ML
furosemide	14.08	FUROSEMIDE CONT IV INFUSION
furosemide	14.08	FUROSEMIDE 40 MG ORAL TABS
furosemide	14.08	FUROSEMIDE 10 MG ML ORAL SOLN
heparin	7.08	HEPARIN INJECTION 1000 UNITS ML (ANESTHESIA)
heparin	7.08	HEPARIN SODIUM (PORCINE) 1000 UNIT ML INJECTION SOLN
heparin	7.08	HEPARIN CONT IV INFUSION 100 UNITS ML
heparin	7.08	HEPARIN IN NS (PF) INJ 50 ML SYR 1 UNIT ML
heparin	7.08	HEPARIN INFUSION IN D5W (IMPELLA PURGE FLUID)
heparin	7.08	HEPARIN SODIUM LOCK FLUSH 10 UNIT ML INTRAVENOUS SOLN
heparin	7.08	HEPARIN SODIUM (PORCINE) 5000 UNIT ML INJECTION SOLN
heparin	7.08	HEPARIN BOLUS INJECTION FOR ECMO 100 UNITS ML
hydrocortisone	18.06	HYDROCORTISONE 1 % APPLY EXT CREA
hydrocortisone	18.06	HYDROCORTISONE 2.5 % APPLY EXT OINT
hydrocortisone	18.06	HYDROCORTISONE SODIUM SUCCINATE 10 MG ML INJ
hydrocortisone	18.06	HYDROCORTISONE SODIUM SUCCINATE INJ 50 MG ML (PRN)
hydrocortisone	18.06	HYDROCORTISONE SODIUM SUCCINATE 50 MG ML INJ
ibuprofen	22.09	IBUPROFEN 100 MG 5ML ORAL SUSP
ibuprofen	22.09	IBUPROFEN 600 MG ORAL TABS
ibuprofen	22.09	IBUPROFEN 200 MG ORAL TABS
ibuprofen	22.09	IBUPROFEN 400 MG ORAL TABS
ibuprofen	22.09	IBUPROFEN 100 MG 5ML ORAL SUSP (>4 UD)
insulin	18.07	INSULIN REGULAR CONT IV INFUSION 1 UNIT ML IN NS
insulin	18.07	INSULIN REGULAR HUMAN 100 UNIT ML INJECTION SOLN
insulin	18.07	INSULIN LISPRO 100 UNITS ML SUBCUT INJ CUSTOM DOSING
insulin	18.07	INSULIN REGULAR CONT IV INFUSION 0.2 UNIT ML IN NS
ipratropium	10.06	IPRATROPIUM BROMIDE 0.02 % INHALATION SOLN
ketamine	22.11	KETAMINE INJ 10 MG ML
ketamine	22.11	KETAMINE INJECTION 100 MG ML (ANESTHESIA)
ketamine	22.11	KETAMINE INJ 10 MG ML (CODE TRAUMA)
ketamine	22.11	KETAMINE INJECTION 50 MG ML (ANESTHESIA)
ketorolac	22.12	KETOROLAC TROMETHAMINE 30 MG ML INJECTION SOLN
ketorolac	22.12	KETOROLAC INJECTION 30 MG ML (ANESTHESIA)
lansoprazole	16.1	LANSOPRAZOLE 15 MG ORAL CPDR
lansoprazole	16.1	LANSOPRAZOLE 15 MG ORAL TBDD
lansoprazole	16.1	LANSOPRAZOLE 30 MG ORAL CPDR
lidocaine	2.09	LIDOCAINE INJ 2% (PF)
lidocaine	2.09	LIDOCAINE INJ 1% (PF)
lidocaine	2.09	LIDOCAINE HCL 2 % EXT GEL
lidocaine	2.09	LIDOCAINE IN D5W 4 5 MG ML % INTRAVENOUS SOLN
lidocaine	2.09	LIDOCAINE PF INJ (20 MG ML) 2% (ANESTHESIA)
lidocaine	2.09	LIDOCAINE INJ (10 MG ML) 1% (CODE TRAUMA)
lidocaine	2.09	LIDOCAINE 4 % APPLY EXT CREA
lidocaine	2.09	LIDOCAINE HCL (PF) 1 % INJECTION SOLN
lisinopril	13.07	LISINOPRIL 5 MG ORAL TABS
lorazepam	22.13	LORAZEPAM 1 MG ML INJECTION SOLN
lorazepam	22.13	LORAZEPAM 2 MG ML ORAL CONC
lorazepam	22.13	LORAZEPAM 2 MG ML INJECTION SOLN
magnesium	15.03	MAGNESIUM HYDROXIDE 400 MG 5ML ORAL SUSP
magnesium	15.03	MAGNESIUM CARBONATE 54 (MAG EQUIV) MG 5ML ORAL LIQD
magnesium	15.03	MAGNESIUM SULFATE INJ 40 MG ML
magnesium	15.03	MAGNESIUM SULFATE INJ 500 MG ML (CODE TRAUMA)
methylprednisolone	18.09	METHYLPREDNISOLONE SODIUM SUCCINATE INJ 5 MG ML
